#,1,2,3,4,,,
#,Index,名称,层数,类型,script位置,easy,End
enemy,0,AcidSlime,1,normal,AcidSlimeEnemy,TRUE,
enemy,1,BlackSlime,1,normal,BlackSlimeEnemy,,
enemy,2,Archer,1,elite,ArcherEnemy,,
enemy,3,BombCarrier,1,elite,BombCarrierEnemy,,
enemy,4,MotherSlime,1,boss,MotherSlimeEnemy,,
enemy,5,ALotOfSlimeEnemy,2,normal,ALotOfSlimeEnemy,TRUE,
enemy,6,SalveAndSlime,2,normal,SalveAndSlimeEnemy,,
enemy,7,BombCarrierFactory,2,elite,BombCarrierFactoryEnemy,,
enemy,8,TemperedArcher,2,elite,TemperedArcherEnemy,,
enemy,9,BleedWolf,2,boss,BleedWolfEnemy,,
#,Index,名称,层数,script位置,,,
baseUnitEvent,0,DecreaseCostForBase,1,DecreaseCostForBase,,,
baseUnitEvent,1,IncreaseStatesForBase,1,IncreaseStatesForBase,,,
event,2,DeleteOneCardEvent,1,DeleteOneCardEvent,,,
event,3,SelectOneCardEvent,1,SelectOneCardEvent,,,
event,4,GainGoldEvent,1,GainGoldEvent,,,
event,5,EnhanceMonsterEvent,1,EnhanceMonsterEvent,,,
event,6,GainBaseUnitEvent,1,GainBaseUnitEvent,,,
baseUnitEvent,7,AddUncasingForBase,2,AddUncasingForBase,,,
baseUnitEvent,8,Layer2IncreaseStatesForBase,2,Layer2IncreaseStatesForBase,,,
event,9,CopyCardEvent,2,CopyCardEvent,,,
event,10,ForgeWeaponEvent,2,ForgeWeaponEvent,,,
event,11,Layer2EnhanceMonsterEvent,2,Layer2EnhanceMonsterEvent,,,
